Year, Month, Day,Home_ID, Home_name, Home_wins_last10, Home_wins_VERSUS_last10, Home_goals_lastGame, Home_assists_lastGame, Home_GA_startingGoalie, Home_SA_startingGoalie, Home_GA_allGoalies, Home_SA_allGoalies,Away_ID, Away_name, Away_wins_last10, Away_wins_VERSUS_last10, Away_goals_lastGame, Away_assists_lastGame, Away_GA_startingGoalie, Away_SA_startingGoalie, Away_GA_allGoalies, Away_SA_allGoalies,Home_Won
1917, 12, 19,0, Ottawa Senators, 0, 0, 0, 0, 0, 0, 0, 0,1, Montreal Canadiens, 0, 0, 0, 0, 0, 0, 0, 0,False
1917, 12, 19,2, Montreal Wanderers, 0, 0, 0, 0, 0, 0, 0, 0,3, Toronto Arenas, 0, 0, 0, 0, 0, 0, 0, 0,True
1917, 12, 21,3, Toronto Arenas, 0, 0, 9, 3, 5, 0, 10, 0,0, Ottawa Senators, 0, 0, 4, 3, 7, 0, 7, 0,True
1917, 12, 21,2, Montreal Wanderers, 1, 0, 9, 2, 9, 0, 9, 0,1, Montreal Canadiens, 1, 0, 7, 5, 4, 0, 4, 0,False
1917, 12, 26,2, Montreal Wanderers, 1, 0, 2, 0, 11, 0, 11, 0,0, Ottawa Senators, 0, 0, 4, 3, 11, 0, 11, 0,False
1917, 12, 26,3, Toronto Arenas, 1, 0, 11, 6, 4, 0, 9, 0,1, Montreal Canadiens, 2, 0, 11, 0, 2, 0, 2, 0,True
1917, 12, 29,1, Montreal Canadiens, 2, 0, 5, 1, 7, 0, 7, 0,3, Toronto Arenas, 2, 1, 7, 6, 5, 0, 10, 0,True
1917, 12, 29,0, Ottawa Senators, 1, 1, 5, 1, 3, 0, 3, 0,2, Montreal Wanderers, 1, 0, 4, 0, 6, 0, 6, 0,True
1918, 1, 2,0, Ottawa Senators, 2, 0, 9, 4, 2, 0, 2, 0,3, Toronto Arenas, 2, 1, 2, 0, 5, 0, 14, 0,False
1918, 1, 5,1, Montreal Canadiens, 3, 1, 9, 0, 2, 0, 2, 0,0, Ottawa Senators, 2, 0, 4, 3, 6, 0, 6, 0,True
1918, 1, 9,3, Toronto Arenas, 3, 1, 6, 1, 0, 0, 14, 0,1, Montreal Canadiens, 4, 1, 6, 2, 5, 0, 5, 0,True
1918, 1, 12,1, Montreal Canadiens, 4, 2, 4, 2, 6, 0, 6, 0,0, Ottawa Senators, 2, 0, 7, 2, 6, 0, 6, 0,True
1918, 1, 14,0, Ottawa Senators, 2, 0, 5, 3, 9, 0, 9, 0,3, Toronto Arenas, 4, 2, 6, 5, 4, 0, 18, 0,True
1918, 1, 16,3, Toronto Arenas, 4, 2, 6, 1, 9, 0, 23, 0,0, Ottawa Senators, 3, 1, 6, 3, 6, 0, 6, 0,True
1918, 1, 19,1, Montreal Canadiens, 5, 1, 9, 3, 4, 0, 4, 0,3, Toronto Arenas, 5, 2, 5, 1, 4, 0, 18, 0,True
1918, 1, 21,0, Ottawa Senators, 3, 0, 7, 3, 5, 0, 5, 0,1, Montreal Canadiens, 6, 3, 4, 2, 1, 0, 1, 0,False
1918, 1, 23,1, Montreal Canadiens, 7, 4, 5, 0, 3, 0, 3, 0,0, Ottawa Senators, 3, 0, 3, 2, 5, 0, 5, 0,False
1918, 1, 26,0, Ottawa Senators, 4, 1, 2, 2, 3, 0, 3, 0,3, Toronto Arenas, 5, 3, 1, 1, 5, 0, 19, 0,True
1918, 1, 28,3, Toronto Arenas, 5, 2, 3, 1, 6, 0, 20, 0,1, Montreal Canadiens, 7, 2, 4, 2, 4, 0, 4, 0,True
1918, 1, 30,0, Ottawa Senators, 5, 1, 9, 3, 3, 0, 3, 0,1, Montreal Canadiens, 6, 4, 1, 2, 5, 0, 5, 0,False
1918, 2, 2,1, Montreal Canadiens, 6, 2, 5, 1, 2, 0, 2, 0,3, Toronto Arenas, 6, 3, 4, 1, 1, 0, 15, 0,True
1918, 2, 4,3, Toronto Arenas, 5, 3, 3, 3, 11, 0, 25, 0,0, Ottawa Senators, 4, 2, 1, 2, 5, 0, 5, 0,True
1918, 2, 6,0, Ottawa Senators, 3, 1, 3, 0, 8, 0, 8, 0,1, Montreal Canadiens, 7, 5, 11, 0, 2, 0, 2, 0,True
1918, 2, 9,1, Montreal Canadiens, 6, 3, 3, 2, 6, 0, 6, 0,3, Toronto Arenas, 5, 3, 8, 4, 2, 0, 16, 0,False
1918, 2, 11,3, Toronto Arenas, 6, 4, 7, 4, 3, 0, 17, 0,0, Ottawa Senators, 4, 2, 6, 2, 3, 0, 3, 0,True
1918, 2, 13,0, Ottawa Senators, 4, 2, 1, 0, 3, 0, 3, 0,3, Toronto Arenas, 6, 5, 3, 1, 1, 0, 15, 0,False
1918, 2, 16,1, Montreal Canadiens, 5, 5, 3, 2, 7, 0, 7, 0,0, Ottawa Senators, 4, 2, 0, 1, 6, 0, 6, 0,True
1918, 2, 18,3, Toronto Arenas, 6, 4, 6, 2, 1, 0, 15, 0,1, Montreal Canadiens, 6, 3, 10, 2, 4, 0, 4, 0,False
1918, 2, 20,1, Montreal Canadiens, 6, 4, 9, 6, 0, 0, 0, 0,3, Toronto Arenas, 6, 4, 0, 0, 9, 0, 23, 0,True
1918, 2, 23,3, Toronto Arenas, 5, 6, 4, 1, 5, 0, 19, 0,0, Ottawa Senators, 3, 2, 4, 0, 10, 0, 10, 0,True
1918, 2, 25,0, Ottawa Senators, 3, 2, 3, 3, 9, 0, 9, 0,1, Montreal Canadiens, 6, 6, 3, 3, 4, 0, 4, 0,True
1918, 2, 27,1, Montreal Canadiens, 5, 6, 2, 0, 8, 0, 8, 0,0, Ottawa Senators, 4, 3, 9, 5, 0, 0, 0, 0,False
1918, 3, 2,3, Toronto Arenas, 6, 4, 9, 7, 3, 0, 17, 0,1, Montreal Canadiens, 5, 5, 1, 1, 3, 0, 3, 0,True
1918, 3, 6,0, Ottawa Senators, 4, 2, 3, 2, 1, 0, 1, 0,3, Toronto Arenas, 7, 7, 5, 2, 3, 0, 17, 0,True
