Year,Month,Day,Home_ID,Home_name,Home_wins_last10,Home_wins_VERSUS_last2,Home_goals_lastGame,Home_assists_lastGame,Home_GA_startingGoalie,Home_SA_startingGoalie,Home_GA_allGoalies,Home_SA_allGoalies,Away_ID,Away_name,Away_wins_last10,Away_wins_VERSUS_last2,Away_goals_lastGame,Away_assists_lastGame,Away_GA_startingGoalie,Away_SA_startingGoalie,Away_GA_allGoalies,Away_SA_allGoalies,Home_Won
1945,10,24,6,Boston Bruins,3,2,6,11,3,0,50,0,11,Chicago Black Hawks,5,0,4,8,3,0,28,0,False
1945,10,27,0,Montreal Canadiens,7,1,5,5,2,0,12,0,11,Chicago Black Hawks,6,1,5,1,4,0,29,0,True
1945,10,27,13,Toronto Maple Leafs,5,2,5,11,0,0,28,0,6,Boston Bruins,3,0,4,3,5,0,52,0,False
1945,10,28,16,Detroit Red Wings,7,2,3,5,5,0,28,0,6,Boston Bruins,3,0,1,1,1,0,48,0,True
1945,10,31,11,Chicago Black Hawks,6,2,4,6,5,0,33,0,10,New York Rangers,3,0,3,6,1,0,41,0,True
1945,11,1,0,Montreal Canadiens,7,1,8,9,4,0,16,0,13,Toronto Maple Leafs,5,1,1,3,1,0,31,0,True
1945,11,3,0,Montreal Canadiens,7,1,4,4,2,0,14,0,16,Detroit Red Wings,8,1,7,7,0,0,23,0,True
1945,11,3,13,Toronto Maple Leafs,5,1,2,2,4,0,34,0,10,New York Rangers,2,1,1,1,8,0,56,0,False
1945,11,4,6,Boston Bruins,3,0,0,0,7,0,54,0,0,Montreal Canadiens,8,2,3,4,1,0,13,0,True
1945,11,4,11,Chicago Black Hawks,6,2,5,4,1,0,29,0,13,Toronto Maple Leafs,5,0,1,1,4,0,32,0,True
1945,11,4,16,Detroit Red Wings,7,1,1,1,3,0,26,0,10,New York Rangers,2,1,4,2,5,0,49,0,True
1945,11,7,13,Toronto Maple Leafs,4,1,3,2,7,0,35,0,6,Boston Bruins,4,1,6,9,5,0,52,0,False
1945,11,8,16,Detroit Red Wings,7,1,5,5,1,0,24,0,13,Toronto Maple Leafs,3,1,3,3,0,0,30,0,True
1945,11,8,10,New York Rangers,2,0,1,1,1,0,47,0,11,Chicago Black Hawks,6,2,7,7,4,0,32,0,False
1945,11,10,0,Montreal Canadiens,8,1,6,3,6,0,14,0,6,Boston Bruins,5,1,4,5,3,0,50,0,True
1945,11,10,10,New York Rangers,2,0,4,5,4,0,51,0,16,Detroit Red Wings,7,2,4,4,2,0,25,0,True
1945,11,10,13,Toronto Maple Leafs,2,0,2,2,3,0,35,0,11,Chicago Black Hawks,6,2,5,6,4,0,32,0,True
1945,11,11,11,Chicago Black Hawks,5,1,2,1,3,0,31,0,13,Toronto Maple Leafs,2,1,3,4,2,0,34,0,True
1945,11,11,16,Detroit Red Wings,6,1,0,0,2,0,25,0,0,Montreal Canadiens,8,1,5,7,3,0,13,0,True
1945,11,11,10,New York Rangers,3,1,2,2,0,0,46,0,6,Boston Bruins,5,1,3,5,5,0,52,0,False
1945,11,14,13,Toronto Maple Leafs,1,1,2,5,5,0,33,0,0,Montreal Canadiens,7,1,1,1,4,0,10,0,False
1945,11,15,16,Detroit Red Wings,7,1,3,4,1,0,24,0,11,Chicago Black Hawks,6,1,5,9,3,0,31,0,True
1945,11,15,0,Montreal Canadiens,7,2,6,7,1,0,7,0,10,New York Rangers,3,0,1,1,5,0,54,0,True
1945,11,17,10,New York Rangers,3,0,0,0,7,0,51,0,0,Montreal Canadiens,8,2,2,2,0,0,6,0,False
1945,11,17,13,Toronto Maple Leafs,1,0,2,2,6,0,34,0,16,Detroit Red Wings,7,2,5,7,2,0,25,0,False
1945,11,18,11,Chicago Black Hawks,6,1,2,1,5,0,33,0,16,Detroit Red Wings,7,1,6,2,5,0,28,0,False
1945,11,18,10,New York Rangers,3,2,3,1,2,0,52,0,13,Toronto Maple Leafs,1,0,5,6,6,0,34,0,False
1945,11,21,6,Boston Bruins,5,1,7,9,1,0,48,0,0,Montreal Canadiens,8,1,7,6,3,0,9,0,True
1945,11,22,11,Chicago Black Hawks,6,2,3,3,5,0,33,0,10,New York Rangers,3,0,2,1,7,0,53,0,False
1945,11,24,0,Montreal Canadiens,7,1,0,0,3,0,8,0,16,Detroit Red Wings,7,1,6,3,3,0,26,0,True
1945,11,24,13,Toronto Maple Leafs,2,1,3,2,1,0,28,0,10,New York Rangers,3,1,4,2,3,0,48,0,True
