Year, Month, Day,Home_ID, Home_name, Home_wins_last10, Home_wins_VERSUS_last2, Home_goals_lastGame, Home_assists_lastGame, Home_GA_startingGoalie, Home_SA_startingGoalie, Home_GA_allGoalies, Home_SA_allGoalies,Away_ID, Away_name, Away_wins_last10, Away_wins_VERSUS_last2, Away_goals_lastGame, Away_assists_lastGame, Away_GA_startingGoalie, Away_SA_startingGoalie, Away_GA_allGoalies, Away_SA_allGoalies,Home_Won
1967, 10, 11,7, Boston Bruins, 2, 2, 2, 3, 3, 28, 14, 115,17, Detroit Red Wings, 3, 0, 3, 4, 6, 21, 13, 103,False
1967, 10, 11,12, Chicago Black Hawks, 5, 1, 2, 8, 4, 33, 7, 100,11, New York Rangers, 4, 1, 0, 1, 6, 22, 13, 61,False
1967, 10, 11,20, Oakland Seals, 0, 0, 0, 0, 5, 34, 5, 34,21, Philadelphia Flyers, 0, 0, 3, 3, 2, 38, 2, 38,True
1967, 10, 11,22, Pittsburgh Penguins, 0, 0, 0, 0, 3, 41, 3, 41,1, Montreal Canadiens, 10, 0, 3, 5, 2, 30, 8, 80,False
1967, 10, 11,23, St. Louis Blues, 0, 0, 2, 0, 0, 0, 0, 0,24, Minnesota North Stars, 0, 0, 0, 4, 4, 24, 4, 24,False
1967, 10, 13,23, St. Louis Blues, 0, 0, 2, 3, 2, 34, 2, 34,22, Pittsburgh Penguins, 0, 0, 1, 2, 2, 39, 2, 39,False
1967, 10, 14,25, Los Angeles Kings, 0, 0, 0, 0, 0, 0, 0, 0,21, Philadelphia Flyers, 0, 0, 1, 2, 0, 0, 5, 33,True
1967, 10, 14,1, Montreal Canadiens, 10, 2, 2, 1, 1, 36, 5, 89,17, Detroit Red Wings, 4, 0, 4, 4, 3, 22, 5, 80,True
1967, 10, 14,20, Oakland Seals, 1, 0, 5, 10, 1, 25, 1, 25,24, Minnesota North Stars, 1, 0, 2, 2, 2, 11, 4, 38,True
1967, 10, 14,22, Pittsburgh Penguins, 1, 1, 3, 4, 1, 38, 1, 38,23, St. Louis Blues, 0, 0, 1, 2, 3, 35, 3, 35,False
1967, 10, 14,13, Toronto Maple Leafs, 6, 1, 5, 7, 1, 38, 16, 141,12, Chicago Black Hawks, 4, 1, 3, 5, 6, 41, 9, 108,True
1967, 10, 15,7, Boston Bruins, 2, 0, 4, 7, 4, 34, 18, 116,1, Montreal Canadiens, 10, 2, 6, 7, 2, 23, 5, 71,True
1967, 10, 15,12, Chicago Black Hawks, 3, 0, 1, 2, 5, 32, 8, 99,13, Toronto Maple Leafs, 7, 2, 5, 9, 1, 32, 16, 135,False
1967, 10, 15,17, Detroit Red Wings, 3, 1, 2, 4, 1, 10, 10, 66,11, New York Rangers, 5, 1, 6, 10, 3, 32, 14, 98,True
1967, 10, 15,25, Los Angeles Kings, 1, 0, 4, 6, 2, 16, 2, 16,24, Minnesota North Stars, 1, 0, 0, 0, 2, 27, 8, 65,True
1967, 10, 18,12, Chicago Black Hawks, 3, 2, 3, 5, 0, 33, 7, 104,7, Boston Bruins, 2, 0, 6, 11, 2, 27, 16, 109,False
1967, 10, 18,11, New York Rangers, 5, 0, 2, 3, 3, 35, 9, 67,1, Montreal Canadiens, 9, 2, 2, 3, 1, 1, 11, 88,False
1967, 10, 18,20, Oakland Seals, 2, 0, 6, 10, 0, 20, 0, 20,25, Los Angeles Kings, 2, 0, 5, 8, 3, 20, 3, 20,False
1967, 10, 18,22, Pittsburgh Penguins, 1, 0, 2, 3, 0, 0, 4, 41,24, Minnesota North Stars, 1, 0, 3, 6, 1, 4, 5, 41,False
1967, 10, 18,23, St. Louis Blues, 1, 0, 4, 4, 3, 34, 5, 65,21, Philadelphia Flyers, 0, 0, 2, 2, 3, 37, 8, 70,False
1967, 10, 18,13, Toronto Maple Leafs, 7, 1, 5, 6, 3, 38, 18, 141,17, Detroit Red Wings, 4, 1, 3, 6, 2, 27, 11, 83,False
1967, 10, 19,17, Detroit Red Wings, 5, 1, 3, 4, 2, 30, 11, 86,7, Boston Bruins, 3, 1, 7, 8, 1, 19, 15, 101,False
1967, 10, 19,1, Montreal Canadiens, 9, 2, 1, 4, 2, 28, 11, 98,13, Toronto Maple Leafs, 6, 0, 2, 4, 3, 36, 18, 139,True
1967, 10, 19,21, Philadelphia Flyers, 1, 0, 2, 3, 1, 35, 6, 68,22, Pittsburgh Penguins, 1, 0, 3, 5, 3, 31, 7, 72,True
1967, 10, 21,24, Minnesota North Stars, 2, 0, 4, 4, 2, 29, 3, 45,20, Oakland Seals, 2, 1, 2, 3, 2, 24, 2, 24,True
1967, 10, 21,1, Montreal Canadiens, 9, 1, 1, 0, 6, 30, 10, 114,7, Boston Bruins, 3, 1, 6, 10, 3, 31, 17, 113,True
1967, 10, 21,22, Pittsburgh Penguins, 1, 0, 0, 0, 1, 22, 5, 63,12, Chicago Black Hawks, 3, 0, 1, 2, 7, 36, 13, 94,True
1967, 10, 21,23, St. Louis Blues, 1, 0, 1, 2, 2, 21, 2, 30,25, Los Angeles Kings, 3, 0, 1, 2, 2, 27, 2, 27,False
1967, 10, 21,13, Toronto Maple Leafs, 6, 1, 0, 0, 1, 27, 16, 130,11, New York Rangers, 5, 1, 2, 4, 2, 25, 8, 75,False
1967, 10, 22,12, Chicago Black Hawks, 3, 0, 2, 2, 4, 43, 11, 116,25, Los Angeles Kings, 4, 0, 4, 5, 1, 6, 4, 42,False
1967, 10, 22,17, Detroit Red Wings, 4, 0, 3, 6, 5, 15, 15, 87,23, St. Louis Blues, 1, 0, 3, 5, 3, 36, 3, 45,True
1967, 10, 22,11, New York Rangers, 5, 0, 5, 9, 3, 30, 9, 80,22, Pittsburgh Penguins, 2, 0, 4, 7, 2, 33, 6, 74,True
1967, 10, 22,21, Philadelphia Flyers, 2, 0, 1, 2, 0, 17, 5, 50,20, Oakland Seals, 2, 1, 1, 2, 3, 53, 3, 53,True
1967, 10, 25,24, Minnesota North Stars, 3, 1, 3, 5, 1, 16, 2, 38,23, St. Louis Blues, 1, 0, 0, 0, 1, 33, 1, 42,True
1967, 10, 25,11, New York Rangers, 5, 1, 6, 8, 4, 26, 10, 76,12, Chicago Black Hawks, 3, 1, 3, 5, 5, 29, 12, 96,False
1967, 10, 25,22, Pittsburgh Penguins, 2, 0, 4, 6, 4, 41, 10, 92,20, Oakland Seals, 2, 0, 2, 2, 5, 31, 5, 31,True
1967, 10, 25,13, Toronto Maple Leafs, 5, 0, 3, 4, 5, 35, 22, 178,25, Los Angeles Kings, 5, 0, 5, 8, 3, 42, 6, 78,True
1967, 10, 26,7, Boston Bruins, 3, 0, 2, 2, 4, 25, 18, 107,25, Los Angeles Kings, 5, 0, 2, 2, 3, 36, 7, 70,True
1967, 10, 26,17, Detroit Red Wings, 5, 0, 1, 2, 0, 30, 7, 86,20, Oakland Seals, 2, 0, 1, 1, 4, 39, 4, 39,True
1967, 10, 26,1, Montreal Canadiens, 9, 2, 5, 5, 2, 34, 12, 112,11, New York Rangers, 5, 0, 2, 3, 2, 27, 8, 77,False
1967, 10, 28,24, Minnesota North Stars, 4, 0, 3, 4, 1, 22, 3, 43,12, Chicago Black Hawks, 3, 0, 3, 4, 2, 30, 9, 97,False
1967, 10, 28,1, Montreal Canadiens, 8, 0, 1, 3, 1, 23, 10, 92,23, St. Louis Blues, 1, 0, 2, 4, 0, 9, 3, 39,True
1967, 10, 28,21, Philadelphia Flyers, 3, 0, 5, 7, 2, 30, 7, 63,17, Detroit Red Wings, 5, 0, 8, 16, 2, 25, 9, 81,False
1967, 10, 28,22, Pittsburgh Penguins, 3, 0, 4, 3, 1, 25, 7, 76,25, Los Angeles Kings, 5, 0, 0, 0, 4, 34, 6, 74,False
1967, 10, 28,13, Toronto Maple Leafs, 5, 0, 4, 7, 2, 31, 19, 175,20, Oakland Seals, 2, 0, 2, 3, 8, 42, 8, 42,True
1967, 10, 29,7, Boston Bruins, 4, 0, 2, 4, 0, 26, 14, 108,22, Pittsburgh Penguins, 3, 0, 3, 5, 6, 51, 11, 81,True
1967, 10, 29,17, Detroit Red Wings, 6, 1, 3, 6, 1, 21, 12, 82,12, Chicago Black Hawks, 3, 1, 4, 7, 2, 26, 9, 93,True
1967, 10, 29,11, New York Rangers, 5, 1, 0, 1, 1, 31, 9, 70,13, Toronto Maple Leafs, 6, 1, 5, 8, 5, 39, 19, 173,True
1967, 10, 29,21, Philadelphia Flyers, 3, 1, 1, 2, 3, 36, 8, 69,20, Oakland Seals, 2, 1, 2, 2, 5, 48, 5, 48,False
1967, 10, 31,25, Los Angeles Kings, 6, 0, 5, 3, 3, 43, 5, 83,11, New York Rangers, 5, 0, 3, 8, 2, 30, 10, 69,False
1967, 11, 1,24, Minnesota North Stars, 4, 1, 2, 4, 1, 12, 4, 23,22, Pittsburgh Penguins, 3, 0, 2, 5, 4, 39, 9, 69,False
1967, 11, 1,20, Oakland Seals, 3, 0, 2, 4, 2, 19, 2, 19,11, New York Rangers, 6, 0, 6, 9, 1, 27, 9, 66,False
